source,config,powerline_hz,artifact,target_snr_db,actual_input_snr_db,output_snr_db,snr_improvement_db,rmse_mv,heart_rate_bpm,sqi,tp,fp,fn,precision,recall,f1,mean_abs_timing_error_ms,bias_timing_error_ms
synthetic,aggressive,50.0,motion,0,-9.112894558928659e-14,1.4170365652958008,1.4170365652958918,0.18465019320951687,71.97290431837428,0.8363269175621946,35,0,0,1.0,1.0,1.0,0.9142857142857143,-0.45714285714285713
synthetic,balanced,50.0,impulse,0,-9.064678185600992e-14,3.2870505416679183,3.287050541668009,0.1488843562977628,71.97290431837426,0.7619923914523324,35,0,0,1.0,1.0,1.0,1.8285714285714285,-0.22857142857142856
synthetic,aggressive,50.0,impulse,0,-9.064678185600992e-14,4.048027240251467,4.048027240251558,0.13639555982207194,71.97290431837428,0.800713815432883,35,0,0,1.0,1.0,1.0,0.8,-0.11428571428571428
synthetic,balanced,50.0,all,5,4.999999999999711,4.05184416176031,-0.9481558382394013,0.13633563541640575,71.97290431837428,0.8742456502159947,35,0,0,1.0,1.0,1.0,0.11428571428571428,0.11428571428571428
synthetic,aggressive,50.0,all,5,4.999999999999711,4.4133553195805355,-0.5866446804191758,0.13077774022567468,71.97290431837428,0.878298350740276,35,0,0,1.0,1.0,1.0,0.45714285714285713,-0.22857142857142856
synthetic,balanced,50.0,baseline,5,4.99999999999971,6.36289602191377,1.36289602191406,0.10448568483650093,71.97290431837428,0.896633748461573,35,0,0,1.0,1.0,1.0,0.0,0.0
synthetic,aggressive,50.0,baseline,5,4.99999999999971,6.300090061799699,1.300090061799989,0.10524393836645883,71.97290431837428,0.8953185780644914,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,balanced,50.0,motion,5,4.999999999999709,3.3010656505875975,-1.6989343494121112,0.14864431779605478,71.97290431837428,0.8668879875048916,35,0,0,1.0,1.0,1.0,0.22857142857142856,0.0
synthetic,aggressive,50.0,motion,5,4.999999999999709,3.816518248544747,-1.1834817514549618,0.14007985458831007,71.97290431837428,0.8725593376030785,35,0,0,1.0,1.0,1.0,0.6857142857142857,-0.45714285714285713
synthetic,balanced,50.0,impulse,5,4.999999999999709,5.273234258383357,0.27323425838364823,0.11845131371982928,71.97290431837428,0.8141903682090805,35,0,0,1.0,1.0,1.0,0.45714285714285713,-0.22857142857142856
synthetic,aggressive,50.0,impulse,5,4.999999999999709,5.5147626100763105,0.5147626100766018,0.11520291391686313,71.97290431837428,0.8449107024544373,35,0,0,1.0,1.0,1.0,0.5714285714285714,-0.34285714285714286
synthetic,balanced,50.0,all,10,9.99999999999908,5.610491192888391,-4.389508807110689,0.11394021510969729,71.97290431837428,0.8921211722701086,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,aggressive,50.0,all,10,9.99999999999908,5.7253468331632,-4.27465316683588,0.11244347351367734,71.97290431837428,0.8942680801154823,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,balanced,50.0,baseline,10,9.999999999999082,6.361538633400302,-3.6384613665987793,0.10450201462619144,71.97290431837428,0.8966594970497255,35,0,0,1.0,1.0,1.0,0.0,0.0
synthetic,aggressive,50.0,baseline,10,9.999999999999082,6.300176914997639,-3.6998230850014426,0.10524288600138271,71.97290431837428,0.895348596914143,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,balanced,50.0,motion,10,9.999999999999078,5.1471546798555785,-4.8528453201435,0.12018322693196076,71.97290431837428,0.8843252267007593,35,0,0,1.0,1.0,1.0,0.11428571428571428,0.11428571428571428
synthetic,aggressive,50.0,motion,10,9.999999999999078,5.370902947670869,-4.629097052328209,0.11712684561259745,71.97290431837428,0.8880835065894508,35,0,0,1.0,1.0,1.0,0.11428571428571428,0.11428571428571428
synthetic,balanced,50.0,impulse,10,9.99999999999908,6.115914354519689,-3.8840856454793906,0.1074993595730495,74.08975444538528,0.8034553460152645,35,1,0,0.9722222222222222,1.0,0.9859154929577464,0.45714285714285713,-0.45714285714285713
synthetic,aggressive,50.0,impulse,10,9.99999999999908,6.130615203264913,-3.869384796734167,0.10731757102965074,71.97290431837428,0.8900104128685071,35,0,0,1.0,1.0,1.0,0.34285714285714286,-0.34285714285714286
synthetic,balanced,50.0,all,20,19.99999999999081,6.282810184068914,-13.717189815921895,0.10545352110863183,71.97290431837428,0.8961454061289172,35,0,0,1.0,1.0,1.0,0.0,0.0
synthetic,aggressive,50.0,all,20,19.99999999999081,6.240475061964117,-13.759524938026692,0.10596875734971058,71.97290431837428,0.8964816717474782,35,0,0,1.0,1.0,1.0,0.22857142857142856,-0.22857142857142856
synthetic,balanced,50.0,baseline,20,19.999999999990806,6.359813327196919,-13.640186672793886,0.1045227742592726,71.97290431837428,0.8966626201675232,35,0,0,1.0,1.0,1.0,0.0,0.0
